"task_id","created_at","details","due_date","is_completed","priority","resources","title","updated_at","username"
"2023-06-20T10:15:00Z_Swan123","2023-06-20T10:15:00Z","Write an article about Electric Cars. Assessment Criteria would be about language and credibility","2023-06-27","false","High","""TPLMS,https://www.nrdc.org/bio/luke-tonachel/study-electric-vehicles-can-dramatically-reduce-carbon-pollution-transportation""","Ecomm Article","2023-06-24T20:14:43.611Z","Swan123"
"2023-05-20T10:15:00Z_John","2023-05-20T10:15:00Z","To write a report about personal experience regarding to 7Dimensions","2023-06-30","false","High","TPLMS","GS 7D","2023-05-20T10:15:00Z","John"
"2023-05-20T10:15:00Z_Swan123","2023-05-20T10:15:00Z","Develop a prototype web application specifically designed for the Poly-Fintech Hackathon. Implement key features and functionalities that align with the hackathon's theme and requirements.","2023-06-26","false","High","https://dribbble.com/tags/fintech%20app","Prototype Web app for Poly-Fintech Hackathon(Internal Round)","2023-05-20T10:15:00Z","Swan123"
"2023-05-21T10:15:00Z_Swan123","2023-05-20T10:15:00Z","Implementation of screens proposed in Part 1","2023-07-03","false","High","https://www.behance.net/search/projects?search=food+waste+app","MBAP Project","2023-05-20T10:15:00Z","Swan123"
"2023-06-17T10:00:00Z_Abhishek","2023-06-17T10:00:00Z","Design and build a web application that integrates Google Maps API to provide location-based services.","2023-07-20","false","Medium","https://developers.google.com/maps/documentation","Build a Web Application for a Google Maps Integration","2023-06-17T10:00:00Z","Abhishek"
"2023-06-17T11:00:00Z_Abhishek","2023-06-17T11:00:00Z","Remove unnecessary items and arrange books and stationery neatly","2023-06-17","true","Low","","Organize study desk","2023-06-17T11:00:00Z","Abhishek"
"2023-06-17T10:00:00Z_Swan123","2023-06-17T10:00:00Z","""Make it super cool, include projects and use three.jsj""","2023-10-20","false","Medium","https://threejs.org/docs/","Build a portfolio","2023-06-17T10:00:00Z","Swan123"
"2023-06-17T10:00:00Z_Jane","2023-06-17T10:00:00Z","Go through all the lessons in LMS","2023-08-30","false","Medium","LMS","Study for AMDT Quiz","2023-06-17T10:00:00Z","Jane"
"2023-05-20T10:15:00Z_DavidChoo","2023-05-20T10:15:00Z","Idea Evaluations and JIRA related activities","2023-07-06","false","High","Template in TP LMS","AMDT Part 2 Case Study","2023-05-20T10:15:00Z","DavidChoo"
"2023-06-22T14:30:00Z_John","2023-06-22T14:30:00Z","""Review AWS Cloud Practitioner exam topics, study the official AWS documentation, and practice with sample questions. Focus on key AWS services, pricing models, architectural best practices, and shared responsibility model.""","2023-08-28","false","High","E learning material from LMS","Study for AWS Cloud Practitioner Quiz","2023-06-22T14:30:00Z","John"